,count-Row ID,mean-Row ID,mean-Postal Code,mean-Sales,mean-Quantity,mean-Discount,mean-Profit,mean-ReturnedBin,mean-EncodedCountry,mean-x0_Furniture,mean-x0_Office Supplies,mean-x0_Technology,mean-x0_Accessories,mean-x0_Appliances,mean-x0_Art,mean-x0_Binders,mean-x0_Bookcases,mean-x0_Chairs,mean-x0_Copiers,mean-x0_Envelopes,mean-x0_Fasteners,mean-x0_Furnishings,mean-x0_Labels,mean-x0_Machines,mean-x0_Paper,mean-x0_Phones,mean-x0_Storage,mean-x0_Supplies,mean-x0_Tables,mean-x0_Consumer,mean-x0_Corporate,mean-x0_Home Office,mean-x0_First Class,mean-x0_Same Day,mean-x0_Second Class,mean-x0_Standard Class,std-Row ID,std-Postal Code,std-Sales,std-Quantity,std-Discount,std-Profit,std-ReturnedBin,std-EncodedCountry,std-x0_Furniture,std-x0_Office Supplies,std-x0_Technology,std-x0_Accessories,std-x0_Appliances,std-x0_Art,std-x0_Binders,std-x0_Chairs,std-x0_Envelopes,std-x0_Fasteners,std-x0_Furnishings,std-x0_Labels,std-x0_Paper,std-x0_Phones,std-x0_Storage,std-x0_Tables,std-x0_Consumer,std-x0_Corporate,std-x0_Home Office,std-x0_First Class,std-x0_Same Day,std-x0_Second Class,std-x0_Standard Class,min-Row ID,min-Postal Code,min-Sales,min-Quantity,min-Discount,min-Profit,min-ReturnedBin,min-EncodedCountry,min-x0_Furniture,min-x0_Office Supplies,min-x0_Technology,min-x0_Accessories,min-x0_Appliances,min-x0_Art,min-x0_Binders,min-x0_Bookcases,min-x0_Chairs,min-x0_Copiers,min-x0_Envelopes,min-x0_Fasteners,min-x0_Furnishings,min-x0_Labels,min-x0_Machines,min-x0_Paper,min-x0_Storage,min-x0_Supplies,min-x0_Tables,min-x0_First Class,min-x0_Same Day,min-x0_Second Class,min-x0_Standard Class,25%-Row ID,25%-Postal Code,25%-Sales,25%-Quantity,25%-Discount,25%-Profit,25%-ReturnedBin,25%-EncodedCountry,25%-x0_Furniture,25%-x0_Office Supplies,25%-x0_Technology,25%-x0_Accessories,25%-x0_Appliances,25%-x0_Binders,25%-x0_Bookcases,25%-x0_Chairs,25%-x0_Copiers,25%-x0_Envelopes,25%-x0_Fasteners,25%-x0_Furnishings,25%-x0_Labels,25%-x0_Machines,25%-x0_Paper,25%-x0_Storage,25%-x0_Supplies,25%-x0_First Class,25%-x0_Same Day,25%-x0_Second Class,25%-x0_Standard Class,50%-Row ID,50%-Postal Code,50%-Sales,50%-Quantity,50%-Discount,50%-Profit,50%-ReturnedBin,50%-EncodedCountry,50%-x0_Furniture,50%-x0_Office Supplies,50%-x0_Technology,50%-x0_Appliances,50%-x0_Art,50%-x0_Binders,50%-x0_Bookcases,50%-x0_Copiers,50%-x0_Envelopes,50%-x0_Fasteners,50%-x0_Furnishings,50%-x0_Labels,50%-x0_Machines,50%-x0_Paper,50%-x0_Phones,50%-x0_Storage,50%-x0_Supplies,50%-x0_Tables,50%-x0_First Class,50%-x0_Same Day,50%-x0_Second Class,50%-x0_Standard Class,75%-Row ID,75%-Postal Code,75%-Sales,75%-Quantity,75%-Discount,75%-Profit,75%-ReturnedBin,75%-EncodedCountry,75%-x0_Furniture,75%-x0_Office Supplies,75%-x0_Technology,75%-x0_Accessories,75%-x0_Appliances,75%-x0_Art,75%-x0_Binders,75%-x0_Bookcases,75%-x0_Chairs,75%-x0_Copiers,75%-x0_Envelopes,75%-x0_Fasteners,75%-x0_Furnishings,75%-x0_Labels,75%-x0_Machines,75%-x0_Paper,75%-x0_Phones,75%-x0_Storage,75%-x0_Supplies,75%-x0_Tables,75%-x0_First Class,75%-x0_Same Day,75%-x0_Second Class,75%-x0_Standard Class,max-Row ID,max-Postal Code,max-Quantity,max-Discount,max-Profit,max-EncodedCountry,max-x0_Furniture,max-x0_Office Supplies,max-x0_Technology,max-x0_Accessories,max-x0_Appliances,max-x0_Art,max-x0_Binders,max-x0_Chairs,max-x0_Furnishings,max-x0_Paper,max-x0_Phones,max-x0_Storage,max-x0_First Class,max-x0_Second Class,max-x0_Standard Class
Aaron Bergman,6,6786.166667,86094.33333,147.6926667,2.166666667,0.066666667,21.55775,0,1,0.333333333,0.5,0.166666667,0,0,0.166666667,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0.166666667,0.333333333,0,0,1,0,0,0.833333333,0,0,0.166666667,2008.357679,13197.29914,139.4323713,0.752772653,0.103279556,28.81006293,0,0,0.516397779,0.547722558,0.40824829,0,0,0.40824829,0,0.40824829,0,0,0,0,0,0.40824829,0.516397779,0,0,0,0,0.40824829,0,0,0.40824829,4962,73120,12.624,1,0,-2.5248,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4963.25,73844.25,25.633,2,0,4.713,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6593.5,87060,135.346,2,0,5.16945,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8657.25,98103,237.7,2.75,0.15,42.405225,0,1,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,1,0,0,0,8803,98103,3,0.2,62.1544,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1
Aaron Hawkins,11,6786.454545,51402.54545,158.6090909,4.909090909,0.090909091,33.20138182,0,1,0.181818182,0.636363636,0.181818182,0.090909091,0,0.090909091,0.181818182,0,0.090909091,0,0.090909091,0,0.090909091,0.090909091,0,0.090909091,0.090909091,0.090909091,0,0,0,1,0,0.272727273,0,0.272727273,0.454545455,2337.60242,40169.77897,206.3054627,2.547726259,0.104446594,38.09115151,0,0,0.404519917,0.504524979,0.404519917,0.301511345,0,0.301511345,0.404519917,0.301511345,0.301511345,0,0.301511345,0.301511345,0.301511345,0.301511345,0.301511345,0,0,0,0,0.467099366,0,0.467099366,0.522232968,3200,10035,8,2,0,2.338,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5355.5,12180,18.802,3,0,6.267,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7164,39503,49.408,4,0,18.528,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8804.5,92056.5,263.648,7,0.2,49.7135,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,9681,94122,9,0.2,121.4416,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Aaron Smayling,10,3533.4,55831.9,305.0692,4.8,0.355,-25.35746,0,1,0.2,0.6,0.2,0,0,0,0.3,0.1,0,0,0,0,0,0,0.2,0.2,0,0.1,0,0.1,0,1,0,0.6,0,0,0.4,3225.63531,34928.05235,459.4493654,2.97396107,0.283284309,92.1951314,0,0,0.421637021,0.516397779,0.421637021,0,0,0,0.483045892,0,0,0,0,0,0.421637021,0,0.316227766,0.316227766,0,0,0,0.516397779,0,0,0.516397779,1341,10035,15.66,2,0,-263.9967,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345.25,28540,32.622,2.25,0.1625,-26.1609,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1834.5,53642.5,76.927,4,0.3,-9.47565,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4195,88014.25,401.0715,6.75,0.65,11.4881,0,1,0,1,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9538,97756,11,0.7,84.294,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1
Adam Bellavance,18,4229.111111,42354,430.8677778,3.111111111,0.044444444,114.1438056,0,1,0.166666667,0.666666667,0.166666667,0.166666667,0.055555556,0,0.166666667,0,0.055555556,0,0,0,0.055555556,0,0,0.388888889,0,0,0.055555556,0.055555556,0,0,1,0.444444444,0,0,0.555555556,3658.292705,36924.07293,1086.728479,2.2980526,0.085558526,336.3569372,0,0,0.383482494,0.48507125,0.383482494,0.383482494,0.23570226,0,0.383482494,0.23570226,0,0,0.23570226,0,0.501631326,0,0,0.23570226,0,0,0,0.511309993,0,0,0.511309993,350,3301,3.048,1,0,-73.0548,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.5,10009,21.692,2,0,7.468125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,22980,58.46,2.5,0,21.8932,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8169.75,79038.5,152.21,4,0,38.8632,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,9500,98198,10,0.2,1415.4296,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1
Adam Hart,20,6847.3,40937.15,162.51685,3.75,0.135,14.05945,0,1,0.3,0.65,0.05,0.05,0.05,0.1,0.1,0,0.05,0,0,0.05,0.15,0.05,0,0.2,0,0,0.1,0.1,0,1,0,0.45,0.15,0.15,0.25,2553.528974,36566.02023,223.7902071,2.336776908,0.175544266,76.56094849,0,0,0.470162346,0.489360485,0.223606798,0.223606798,0.223606798,0.307793506,0.307793506,0.223606798,0,0.223606798,0.366347549,0.223606798,0.410391341,0,0,0.307793506,0,0,0,0.510417786,0.366347549,0.366347549,0.444261658,925,2920,2.22,1,0,-127.5792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6044.75,2920,12.75,2,0,-6.23325,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8414.5,34118,47.64,3,0.1,4.6698,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8449.25,79266.5,215.94,5,0.2,15.561,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,8689,92646,10,0.7,294.5488,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Adam Shillingsburg,25,5239.28,40886.28,130.2124,3.24,0.18,2.581496,0,1,0.2,0.72,0.08,0.08,0.04,0.08,0.28,0.04,0.04,0,0.08,0,0.08,0.08,0,0.04,0,0.12,0,0.04,1,0,0,0.28,0,0.08,0.64,2880.808835,28854.6695,245.1701527,1.535143859,0.229128785,98.36281515,0,0,0.40824829,0.458257569,0.276887462,0.276887462,0.2,0.276887462,0.458257569,0.2,0.276887462,0,0.276887462,0.276887462,0.2,0,0.331662479,0.2,0,0,0,0.458257569,0,0.276887462,0.489897949,1895,10011,1.908,1,0,-412.6154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403,10035,13.04,2,0,1.3944,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5226,22901,26.22,3,0.2,7.9212,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7850,65807,94.2,4,0.2,14.3952,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9659,92037,7,0.8,215.1198,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Adrian Barton,20,6504.4,67965.55,723.67855,3.65,0.24,272.240275,0.2,1,0.15,0.55,0.3,0.1,0,0.05,0.25,0,0,0,0,0,0.1,0.05,0.05,0,0.15,0.2,0,0.05,1,0,0,0.2,0,0,0.8,2645.217818,21688.27934,2178.309903,2.960707597,0.241486624,1108.250942,0.410391341,0,0.366347549,0.510417786,0.470162346,0.307793506,0,0.223606798,0.444261658,0,0,0,0.307793506,0.223606798,0,0.366347549,0.410391341,0.223606798,0,0,0,0.410391341,0,0,0.410391341,1410,10011,3.69,1,0,-204.4458,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4283.75,47704.5,29.955,2,0,-14.6927,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6972.5,77041,103.772,3,0.2,5.6085,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9103.25,85023,412.46775,3.25,0.25,34.886925,0,1,0,1,1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9208,97206,13,0.8,4946.37,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1
Adrian Hane,16,5907,82828.375,108.469625,4.0625,0.2375,-0.1446625,0.4375,1,0.125,0.625,0.25,0.1875,0,0.125,0.1875,0,0.0625,0,0,0,0,0.0625,0,0.25,0.0625,0,0,0.0625,0,0,1,0.5625,0.0625,0.0625,0.3125,1507.01524,19973.92041,111.2062281,1.340087062,0.236290781,81.80752601,0.512347538,0,0.341565026,0.5,0.447213595,0.403112887,0,0.341565026,0.403112887,0.25,0,0,0,0.25,0.447213595,0.25,0,0.25,0,0,0,0.512347538,0.25,0.25,0.478713554,2103,40214,5.232,2,0,-264.215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5655.75,76581.25,18,3,0.15,-8.19675,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5659.5,94110,74.14,4,0.2,1.4632,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6413.25,97301,171.91,5,0.2,19.456275,1,1,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1,0,0,1,8882,97301,7,0.8,114.9385,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1
Adrian Shami,3,965.6666667,39357.33333,19.60666667,3,0.066666667,7.2832,0,1,0.333333333,0.666666667,0,0,0,0,0.333333333,0,0,0,0,0,0.333333333,0,0,0.333333333,0,0,0,0,0,0,1,0.666666667,0,0,0.333333333,724.2860853,50787.77113,19.32273618,2.645751311,0.115470054,6.259155061,0,0,0.577350269,0.577350269,0,0,0,0,0.577350269,0,0,0,0.577350269,0,0.577350269,0,0,0,0,0,0,0.577350269,0,0,0.577350269,547,10035,4.18,1,0,1.5048,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.5,10035,8.77,1.5,0,3.9588,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,548,10035,13.36,2,0,6.4128,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1175,54018.5,27.32,4,0.1,10.1724,0,1,0.5,1,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,1,0,0,0.5,1802,98002,6,0.2,13.932,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1
Aimee Bixby,12,4849.5,42870.58333,80.55916667,3.083333333,0.133333333,26.13830833,0,1,0.083333333,0.75,0.166666667,0.166666667,0,0.166666667,0.083333333,0,0,0,0,0,0.083333333,0,0,0.333333333,0,0,0.166666667,0,1,0,0,0,0,0.833333333,0.166666667,3366.72367,33452.16534,130.6454823,1.311372171,0.177525073,50.40201566,0,0,0.288675135,0.452267017,0.389249472,0.389249472,0,0.389249472,0.288675135,0,0,0,0.288675135,0,0.492365964,0,0,0,0,0,0,0,0,0.389249472,0.389249472,1556,10701,6.672,1,0,-13.993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1599.75,10701,15.882,2,0,5.36985,0,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3872.5,42847,34.126,3,0.1,7.8481,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8498.25,75007,93.425,4,0.2,22.4488,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8501,75220,6,0.6,177.5889,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1
