Customer Name (E&P),Sales (C),Quantity (C),Discount (C),Profit (C)
Claire Gute,261.96,2,0,41.9136
Claire Gute,731.94,3,0,219.582
Darrin Van Huff,14.62,2,0,6.8714
Sean O'Donnell,957.5775,5,0.45,-383.031
Sean O'Donnell,22.368,2,0.2,2.5164
Brosina Hoffman,48.86,7,0,14.1694
Brosina Hoffman,7.28,4,0,1.9656
Brosina Hoffman,907.152,6,0.2,90.7152
Brosina Hoffman,18.504,3,0.2,5.7825
Brosina Hoffman,114.9,5,0,34.47
Brosina Hoffman,1706.184,9,0.2,85.3092
Brosina Hoffman,911.424,4,0.2,68.3568
Andrew Allen,15.552,3,0.2,5.4432
Irene Maddox,407.976,3,0.2,132.5922
Harold Pawlan,68.81,5,0.8,-123.858
Harold Pawlan,2.544,3,0.8,-3.816
Pete Kriz,665.88,6,0,13.3176
Alejandro Grove,55.5,2,0,9.99
Zuschuss Donatelli,8.56,2,0,2.4824
Zuschuss Donatelli,213.48,3,0.2,16.011
Zuschuss Donatelli,22.72,4,0.2,7.384
Ken Black,19.46,7,0,5.0596
Ken Black,60.34,7,0,15.6884
Sandra Flanagan,71.372,2,0.3,-1.0196
Emily Burns,1044.63,3,0,240.2649
Eric Hoffmann,11.648,2,0.2,4.2224
Eric Hoffmann,90.57,3,0,11.7741
Tracy Blumstein,3083.43,7,0.5,-1665.0522
Tracy Blumstein,9.618,2,0.7,-7.0532
Tracy Blumstein,124.2,3,0.2,15.525
Tracy Blumstein,3.264,2,0.2,1.1016
Tracy Blumstein,86.304,6,0.2,9.7092
Tracy Blumstein,6.858,6,0.7,-5.715
Tracy Blumstein,15.76,2,0.2,3.546
Matt Abelman,29.472,3,0.2,9.9468
Gene Hale,1097.544,7,0.2,123.4737
Gene Hale,190.92,5,0.6,-147.963
Steve Nguyen,113.328,9,0.2,35.415
Steve Nguyen,532.3992,3,0.32,-46.9764
Steve Nguyen,212.058,3,0.3,-15.147
Steve Nguyen,371.168,4,0.2,41.7564
Linda Cazamias,147.168,4,0.2,16.5564
Ruben Ausman,77.88,2,0,3.894
Erin Smith,95.616,2,0.2,9.5616
Odella Nelson,45.98,2,0,19.7714
Odella Nelson,17.46,2,0,8.2062
Patrick O'Donnell,211.96,4,0,8.4784
Lena Hernandez,45,3,0,4.95
Lena Hernandez,21.8,2,0,6.104
Darren Powers,38.22,6,0,17.9634
Darren Powers,75.18,6,0,35.3346
Darren Powers,6.16,2,0,2.9568
Darren Powers,89.99,1,0,17.0981
Janet Molinari,15.26,7,0,6.2566
Janet Molinari,1029.95,5,0,298.6855
Ted Butterfield,208.56,6,0,52.14
Ted Butterfield,32.4,5,0,15.552
Ted Butterfield,319.41,5,0.1,7.098
Ted Butterfield,14.56,2,0,6.9888
Ted Butterfield,30,2,0,3.3
Ted Butterfield,48.48,4,0.2,16.362
Ted Butterfield,1.68,1,0,0.84
Kunst Miller,13.98,2,0,6.1512
Kunst Miller,25.824,6,0.2,9.3612
Kunst Miller,146.73,3,0,68.9631
Kunst Miller,79.76,4,0,22.3328
Paul Stevenson,213.115,5,0.3,-15.2225
Brendan Sweed,1113.024,8,0.2,111.3024
Brendan Sweed,167.968,4,0.2,62.988
Karen Daniels,75.88,2,0,35.6636
Henry MacAllister,4.616,1,0.2,1.731
Tracy Blumstein,19.05,3,0,8.763
Joel Eaton,831.936,8,0.2,-114.3912
Joel Eaton,97.04,2,0.2,1.213
Joel Eaton,72.784,1,0.2,-18.196
Ken Brennan,1.248,3,0.8,-1.9344
Ken Brennan,9.708,3,0.6,-5.8248
Ken Brennan,27.24,3,0.2,2.724
Joel Eaton,19.3,5,0.6,-14.475
Stewart Carmichael,208.16,1,0,56.2032
Stewart Carmichael,16.74,3,0,8.0352
Duane Noonan,14.9,5,0,4.172
Duane Noonan,21.39,1,0,6.2031
Julie Creighton,200.984,7,0.2,62.8075
Christopher Schild,230.376,3,0.2,-48.9549
Patrick O'Donnell,301.96,2,0,33.2156
Paul Gonzalez,19.99,1,0,6.7966
Paul Gonzalez,6.16,2,0,2.9568
Gary Mitchum,158.368,7,0.2,13.8572
Jim Sink,20.1,3,0,6.633
Jim Sink,73.584,2,0.2,8.2782
Jim Sink,6.48,1,0,3.1104
Karl Braun,12.96,2,0,6.2208
Karl Braun,53.34,3,0,16.5354
Karl Braun,32.96,2,0,16.1504
Roger Barcio,5.682,1,0.7,-3.788
Parhena Norris,96.53,7,0,40.5426
Katherine Ducich,51.312,3,0.2,17.9592
Elpida Rittenbach,77.88,6,0,22.5852
Rick Bensley,64.624,7,0.2,22.6184
Rick Bensley,95.976,3,0.2,-10.7973
Rick Bensley,1.788,3,0.8,-3.0396
Gary Zandusky,23.92,4,0,11.7208
Lena Cacioppo,238.896,6,0.2,-26.8758
Lena Cacioppo,102.36,3,0.2,-3.8385
Lena Cacioppo,36.882,3,0.7,-25.8174
Janet Martin,74.112,8,0.2,17.6016
Janet Martin,27.992,1,0.2,2.0994
Janet Martin,3.304,1,0.2,1.0738
Pete Armstrong,339.96,5,0.2,67.992
Cynthia Voltz,41.96,2,0,10.9096
Clay Ludtke,75.96,2,0,22.788
Clay Ludtke,27.24,6,0,13.3476
Ryan Crowe,40.096,14,0.2,14.5348
Ryan Crowe,4.72,2,0.2,1.652
Ryan Crowe,23.976,3,0.2,7.4925
Ryan Crowe,130.464,6,0.2,44.0316
Dave Kipp,787.53,3,0,165.3813
Greg Guthrie,157.794,1,0.7,-115.7156
Steven Cartwright,47.04,3,0,18.3456
Steven Cartwright,30.84,4,0,13.878
Steven Cartwright,226.56,6,0,63.4368
Steven Cartwright,115.02,9,0,51.759
Steven Cartwright,68.04,7,0,19.7316
Alan Dominguez,600.558,3,0.3,-8.5794
Philip Fox,617.7,6,0.5,-407.682
Troy Staebel,2.388,2,0.7,-1.8308
Troy Staebel,243.992,7,0.2,30.499
Lindsay Shagiari,81.424,2,0.2,-9.1602
Lindsay Shagiari,238.56,3,0,26.2416
Dorothy Wardle,59.97,5,0.4,-11.994
Dorothy Wardle,78.304,2,0.2,29.364
Dorothy Wardle,21.456,9,0.2,6.9732
Lena Creighton,20.04,3,0,9.6192
Lena Creighton,35.44,1,0,16.6568
Lena Creighton,11.52,4,0,3.456
Lena Creighton,4.02,2,0,1.9698
Lena Creighton,76.176,3,0.2,26.6616
Lena Creighton,65.88,6,0,18.4464
Lena Creighton,43.12,14,0,20.6976
Jonathan Doherty,82.8,2,0.2,10.35
Sally Hughsby,8.82,3,0,2.3814
Sally Hughsby,10.86,3,0,5.1042
Sally Hughsby,143.7,3,0,68.976
Sandra Glassco,839.43,3,0,218.2518
Helen Andreada,671.93,7,0,20.1579
Maureen Gastineau,93.888,4,0.2,12.9096
Justin Ellison,384.45,11,0,103.8015
Justin Ellison,149.97,3,0,5.9988
Justin Ellison,1951.84,8,0,585.552
Justin Ellison,171.55,5,0,80.6285
Tamara Willingham,157.92,5,0.2,17.766
Tamara Willingham,203.184,2,0.2,15.2388
Stephanie Phelps,58.38,7,0,26.271
Stephanie Phelps,105.52,4,0,48.5392
Stephanie Phelps,80.88,6,0,21.0288
Neil Knudson,6.63,3,0,1.7901
Dave Brooks,457.568,2,0.2,51.4764
Nora Paige,14.62,2,0,6.8714
Nora Paige,944.93,7,0,236.2325
Ted Trevino,5.98,1,0,2.691
Eric Murdock,54.384,2,0.2,1.3596
Ruben Dartt,28.4,5,0,13.348
Max Jones,27.68,2,0.2,9.688
Becky Martin,9.936,3,0.2,2.7324
Becky Martin,8159.952,8,0.4,-1359.992
Becky Martin,275.928,3,0.2,-58.6347
Becky Martin,1740.06,9,0.3,-24.858
Becky Martin,32.064,6,0.2,6.8136
Becky Martin,177.98,5,0.8,-453.849
Becky Martin,143.976,3,0.2,8.9985
Chad Sievert,20.94,3,0,9.8418
Chad Sievert,110.96,2,0,53.2608
Chad Sievert,340.144,7,0.2,21.259
Jennifer Braxton,52.448,2,0.8,-131.12
Jennifer Braxton,20.16,4,0.2,6.552
Shirley Jackson,97.264,4,0.8,-243.16
Joel Eaton,396.802,7,0.3,-11.3372
Joel Eaton,15.88,5,0.2,-3.7715
Jim Kriz,3.28,1,0,1.4104
David Kendrick,24.816,2,0.2,1.8612
David Kendrick,408.744,7,0.2,76.6395
Robert Marley,503.96,4,0,131.0296
Robert Marley,149.95,5,0,41.986
Robert Marley,29,2,0,7.25
Sally Knutson,7.16,2,0,3.4368
Frank Merwin,176.8,8,0,22.984
Alice McCarthy,37.224,3,0.2,3.7224
Alice McCarthy,20.016,3,0.2,6.255
Mark Packer,899.136,4,0.2,112.392
Mark Packer,71.76,6,0,20.0928
Mark Packer,51.84,8,0,24.8832
Mark Packer,626.352,3,0.2,46.9764
Mark Packer,19.9,5,0,6.567
Mary Zewe,14.28,7,0,6.7116
Cassandra Brandow,7.408,2,0.2,1.2038
Cassandra Brandow,6.048,3,0.2,1.5876
Valerie Mitchum,46.26,3,0,12.0276
Fred Hopkins,2.946,2,0.7,-2.2586
Fred Hopkins,16.056,3,0.2,5.8203
Maria Bertelson,21.744,3,0.2,6.795
Bruce Stewart,218.75,2,0.5,-161.875
Bruce Stewart,2.6,1,0.2,0.2925
Logan Currie,66.284,2,0.8,-178.9668
Heather Kirkland,35.168,7,0.2,9.6712
Laurel Elliston,444.768,4,0.2,44.4768
Joseph Holt,83.92,4,0,5.8744
Joseph Holt,131.98,2,0,35.6346
Joseph Holt,15.92,4,0,7.4824
Joseph Holt,52.29,9,0,16.2099
Joseph Holt,91.99,1,0,3.6796
Michael Stewart,20.8,2,0.2,6.5
Victoria Wilson,23.68,2,0.2,8.88
Victoria Wilson,452.45,5,0.5,-244.323
Victoria Wilson,62.982,3,0.4,-14.6958
Victoria Wilson,1188,9,0.7,-950.4
Victoria Wilson,89.584,2,0.2,4.4792
Jonathan Howell,93.06,6,0,26.0568
Jonathan Howell,302.376,3,0.2,22.6782
Joni Blumstein,5.584,2,0.2,1.8148
Joni Blumstein,22.704,6,0.2,8.2302
Joni Blumstein,19.776,4,0.7,-13.8432
Joni Blumstein,72.704,4,0.2,19.0848
Joni Blumstein,479.988,4,0.7,-383.9904
Joni Blumstein,27.168,2,0.2,2.7168
David Smith,2.2,1,0,0.968
David Smith,622.45,5,0,136.939
David Smith,21.98,1,0,0.2198
Valerie Dominguez,161.568,2,0.2,-28.2744
Valerie Dominguez,389.696,8,0.2,43.8408
Erin Ashbrook,18.648,7,0.7,-12.432
Christopher Schild,233.86,2,0.45,-102.048
Christopher Schild,620.6145,3,0.45,-248.2458
Christopher Schild,5.328,2,0.7,-3.552
Christopher Schild,258.072,3,0.2,0
Christopher Schild,617.976,3,0.2,-7.7247
David Bremer,10.56,2,0,4.752
Ken Lonsdale,25.92,5,0.2,9.396
Ken Lonsdale,419.68,5,0.6,-356.728
Ken Lonsdale,11.688,3,0.6,-4.6752
Ken Lonsdale,31.984,2,0.2,11.1944
Ken Lonsdale,177.225,5,0.5,-120.513
Ken Lonsdale,4.044,3,0.6,-2.8308
Ken Lonsdale,7.408,2,0.2,1.2038
Dianna Wilson,2001.86,7,0,580.5394
Dianna Wilson,166.72,2,0,41.68
Dianna Wilson,47.88,6,0,23.94
Dianna Wilson,1503.25,5,0,496.0725
Dianna Wilson,25.92,4,0,12.4416
Logan Haushalter,321.568,2,0.2,28.1372
Kelly Collister,7.61,1,0,3.5767
Kelly Collister,3347.37,13,0,636.0003
Delfina Latchford,80.58,6,0,22.5624
Delfina Latchford,361.92,4,0,162.864
Dan Reichenbach,12.132,9,0.6,-8.4924
Dan Reichenbach,82.368,2,0.2,-19.5624
Dan Reichenbach,53.92,5,0.2,4.044
Dan Reichenbach,647.904,6,0.2,56.6916
Craig Carreira,20.37,3,0,6.9258
Craig Carreira,221.55,3,0,6.6465
Craig Carreira,17.52,5,0.2,6.132
Dorris liebe,1.624,2,0.8,-4.466
Sean Braxton,3059.982,3,0.4,-509.997
Sean Braxton,2519.958,7,0.4,-251.9958
Roy Collins,328.224,4,0.2,28.7196
Alan Hwang,79.9,2,0,35.156
Claudia Bergmann,14.016,3,0.2,4.7304
Paul Gonzalez,7.56,6,0,0.3024
Christine Abelman,37.208,1,0.2,-7.4416
Christine Abelman,57.576,3,0.2,21.591
Kristen Hastings,725.84,4,0,210.4936
Helen Andreada,209.93,7,0,92.3692
Helen Andreada,5.28,3,0,2.3232
Helen Andreada,10.92,3,0.2,4.095
Barry Blumstein,8.82,2,0,4.0572
Barry Blumstein,5.98,1,0,1.5548
Andrew Gjertsen,11.648,2,0.2,4.0768
Andrew Gjertsen,18.176,4,0.2,5.9072
Andrew Gjertsen,59.712,6,0.2,5.9712
Andrew Gjertsen,24.84,3,0.2,8.694
Steven Cartwright,2.08,5,0.8,-3.432
Steven Cartwright,1114.4,7,0.2,376.11
Jas O'Carroll,1038.84,5,0.2,51.942
Tracy Blumstein,141.76,5,0.2,47.844
Tracy Blumstein,239.8,5,0.2,47.96
Tracy Blumstein,31.104,6,0.2,10.8864
Alan Haines,254.058,7,0.7,-169.372
Alan Haines,194.528,2,0.2,24.316
Alan Haines,961.48,5,0.2,-204.3145
Nick Zandusky,19.096,7,0.2,6.6836
Nick Zandusky,18.496,8,0.2,6.2424
Nick Zandusky,255.984,2,0.2,54.3966
Nick Zandusky,86.97,3,0.5,-48.7032
Kelly Lampkin,300.416,8,0.2,78.8592
Kelly Lampkin,230.352,3,0.2,20.1558
Kelly Lampkin,218.352,3,0.2,-24.5646
Kelly Lampkin,78.6,5,0.7,-62.88
Kelly Lampkin,27.552,3,0.2,9.2988
Jonathan Doherty,32.4,5,0,15.552
Jonathan Doherty,1082.48,8,0,10.8248
Jonathan Doherty,56.91,3,0,27.3168
Jonathan Doherty,77.6,4,0,38.024
Jonathan Doherty,14.28,1,0,6.5688
Jonathan Howell,219.075,3,0.5,-131.445
Alan Schoenberger,26.8,2,0,12.864
Ken Brennan,9.84,3,0,2.8536
Corey Roper,45.48,3,0,20.9208
Corey Roper,289.2,6,0,83.868
Shahid Hopkins,4.89,1,0,2.0049
Ben Peterman,15.136,4,0.2,3.5948
Ben Peterman,466.768,2,0.2,52.5114
Ben Peterman,15.232,1,0.2,1.7136
Ben Peterman,6.264,3,0.2,2.0358
Thomas Seio,87.54,3,0,37.6422
Andy Gerbode,178.384,2,0.2,22.298
Andy Gerbode,15.552,3,0.2,5.4432
Sung Pak,99.136,4,0.2,8.6744
Nathan Mautz,135.882,1,0.1,24.1568
Nathan Mautz,3991.98,2,0,1995.99
Nathan Mautz,275.94,6,0,80.0226
Nathan Mautz,360,4,0,129.6
Nathan Mautz,43.57,1,0,13.071
Frank Atkinson,7.16,2,0,3.58
Grace Kelly,251.52,6,0.2,81.744
Grace Kelly,99.99,1,0,34.9965
Don Jones,15.992,1,0.2,0.9995
Patrick O'Brill,290.898,3,0.4,-67.8762
Patrick O'Brill,54.224,2,0.2,3.389
Patrick O'Brill,786.744,4,0.3,-258.5016
Patrick O'Brill,100.24,10,0.2,33.831
Patrick O'Brill,37.764,6,0.7,-27.6936
John Lucas,82.8,2,0.4,-20.7
John Lucas,20.724,2,0.7,-13.816
John Lucas,4.896,3,0.7,-3.4272
Doug Bickford,4.752,1,0.2,1.6038
Doug Bickford,959.984,2,0.2,335.9944
Doug Bickford,14.368,4,0.2,4.49
Alyssa Crouse,7.712,2,0.2,2.7956
Alyssa Crouse,698.352,3,0.2,-17.4588
Ken Lonsdale,4.96,4,0,2.3312
Jonathan Doherty,17.856,4,0.2,1.116
Jonathan Doherty,509.97,10,0.7,-407.976
Jonathan Doherty,30.992,13,0.2,10.0724
Jonathan Doherty,71.928,12,0.4,8.3916
Chad Sievert,88.8,4,0.2,-2.22
Clay Cheatham,47.976,3,0.2,4.7976
Tamara Dahlen,7.56,3,0,3.0996
Tamara Dahlen,24.56,2,0,11.5432
Tamara Dahlen,12.96,2,0,4.1472
Adam Bellavance,6.79,1,0,2.3086
Adam Bellavance,24.56,2,0,11.5432
Adam Bellavance,3.048,1,0.2,1.0668
Adam Bellavance,49.12,4,0,23.0864
Adam Bellavance,4355.168,4,0.2,1415.4296
Jeremy Lonsdale,388.704,6,0.2,-4.8588
Jeremy Lonsdale,8.26,2,0,3.7996
Jeremy Lonsdale,17.04,4,0,6.9864
Jeremy Lonsdale,34.4,5,0,15.824
Heather Kirkland,36.24,5,0.2,11.325
Victoria Brennan,647.84,8,0,168.4384
Victoria Brennan,20.7,2,0,9.936
Katrina Willman,20.7,2,0,9.936
Katrina Willman,488.646,3,0.1,86.8704
Katrina Willman,5.56,2,0,1.4456
Katrina Willman,47.12,8,0,20.7328
Julia Dunbar,211.96,4,0,8.4784
Michael Kennedy,23.2,4,0,10.44
Michael Kennedy,7.36,2,0,0.1472
Michael Kennedy,104.79,7,0,29.3412
Michael Kennedy,1043.92,4,0,271.4192
Guy Thornton,25.92,5,0.2,9.396
Guy Thornton,53.424,3,0.2,4.6746
Arthur Gainer,8.16,5,0.7,-5.712
Arthur Gainer,1023.936,8,0.2,179.1888
Arthur Gainer,9.24,1,0.2,0.924
Arthur Gainer,479.04,10,0.2,-29.94
Muhammed MacIntyre,99.136,4,0.2,30.98
Allen Rosenblatt,1488.424,7,0.3,-297.6848
Russell Applegate,8.652,3,0.8,-20.3322
Russell Applegate,23.832,3,0.2,2.6811
Russell Applegate,12.176,4,0.8,-18.8728
Alejandro Savely,50.96,7,0,25.48
Alejandro Savely,49.536,3,0.2,17.3376
Laura Armstrong,41.9,2,0,8.799
Denny Ordway,375.4575,3,0.45,-157.0095
Denny Ordway,83.976,3,0.2,-1.0497
Dean Katz,482.34,4,0.7,-337.638
Dean Katz,2.96,1,0.2,0.777
Nathan Gelder,2.624,1,0.2,0.4264
Mike Vittorini,23.36,4,0.2,7.884
Mike Vittorini,39.98,2,0,13.5932
Jack Garza,246.384,2,0.2,27.7182
Jack Garza,1799.97,3,0,701.9883
Bart Pistole,12.462,3,0.8,-20.5623
Victor Preis,75.792,3,0.2,25.5798
Saphhira Shifley,49.96,2,0,9.4924
Saphhira Shifley,12.96,2,0,6.2208
Harold Pawlan,70.12,4,0,21.036
Anna Gayman,35.952,3,0.2,3.5952
Anna Gayman,2396.2656,4,0.32,-317.1528
Anna Gayman,131.136,4,0.2,-32.784
Anna Gayman,57.584,2,0.2,0.7198
Luke Foster,9.568,2,0.2,3.4684
Stephanie Phelps,39.072,6,0.2,9.768
Roy Französisch,35.91,3,0,9.6957
Keith Herrera,179.95,5,0,37.7895
Keith Herrera,1199.976,3,0.2,434.9913
Keith Herrera,27.15,5,0,13.3035
Keith Herrera,1004.024,7,0.2,-112.9527
Keith Herrera,9.68,1,0,4.6464
Keith Herrera,28.35,9,0,13.608
