,count-Row ID,mean-Row ID,mean-Postal Code,mean-Sales,mean-Quantity,mean-Discount,mean-Profit,mean-ReturnedBin,mean-EncodedCountry,mean-x0_Furniture,mean-x0_Office Supplies,mean-x0_Technology,mean-x0_Accessories,mean-x0_Appliances,mean-x0_Art,mean-x0_Binders,mean-x0_Bookcases,mean-x0_Chairs,mean-x0_Copiers,mean-x0_Envelopes,mean-x0_Fasteners,mean-x0_Furnishings,mean-x0_Labels,mean-x0_Machines,mean-x0_Paper,mean-x0_Phones,mean-x0_Storage,mean-x0_Supplies,mean-x0_Tables,mean-x0_Consumer,mean-x0_Corporate,mean-x0_Home Office,mean-x0_First Class,mean-x0_Same Day,mean-x0_Second Class,mean-x0_Standard Class,std-Row ID,std-Postal Code,std-Sales,std-Quantity,std-Discount,std-Profit,std-ReturnedBin,std-EncodedCountry,std-x0_Furniture,std-x0_Office Supplies,std-x0_Technology,std-x0_Accessories,std-x0_Appliances,std-x0_Art,std-x0_Binders,std-x0_Chairs,std-x0_Envelopes,std-x0_Fasteners,std-x0_Furnishings,std-x0_Labels,std-x0_Paper,std-x0_Phones,std-x0_Storage,std-x0_Tables,std-x0_Consumer,std-x0_Corporate,std-x0_Home Office,std-x0_First Class,std-x0_Same Day,std-x0_Second Class,std-x0_Standard Class,min-Row ID,min-Postal Code,min-Sales,min-Quantity,min-Discount,min-Profit,min-ReturnedBin,min-EncodedCountry,min-x0_Furniture,min-x0_Office Supplies,min-x0_Technology,min-x0_Accessories,min-x0_Appliances,min-x0_Art,min-x0_Binders,min-x0_Bookcases,min-x0_Chairs,min-x0_Copiers,min-x0_Envelopes,min-x0_Fasteners,min-x0_Furnishings,min-x0_Labels,min-x0_Machines,min-x0_Paper,min-x0_Storage,min-x0_Supplies,min-x0_Tables,min-x0_First Class,min-x0_Same Day,min-x0_Second Class,min-x0_Standard Class,25%-Row ID,25%-Postal Code,25%-Sales,25%-Quantity,25%-Discount,25%-Profit,25%-ReturnedBin,25%-EncodedCountry,25%-x0_Furniture,25%-x0_Office Supplies,25%-x0_Technology,25%-x0_Accessories,25%-x0_Appliances,25%-x0_Binders,25%-x0_Bookcases,25%-x0_Chairs,25%-x0_Copiers,25%-x0_Envelopes,25%-x0_Fasteners,25%-x0_Furnishings,25%-x0_Labels,25%-x0_Machines,25%-x0_Paper,25%-x0_Storage,25%-x0_Supplies,25%-x0_First Class,25%-x0_Same Day,25%-x0_Second Class,25%-x0_Standard Class,50%-Row ID,50%-Postal Code,50%-Sales,50%-Quantity,50%-Discount,50%-Profit,50%-ReturnedBin,50%-EncodedCountry,50%-x0_Furniture,50%-x0_Office Supplies,50%-x0_Technology,50%-x0_Appliances,50%-x0_Art,50%-x0_Binders,50%-x0_Bookcases,50%-x0_Copiers,50%-x0_Envelopes,50%-x0_Fasteners,50%-x0_Furnishings,50%-x0_Labels,50%-x0_Machines,50%-x0_Paper,50%-x0_Phones,50%-x0_Storage,50%-x0_Supplies,50%-x0_Tables,50%-x0_First Class,50%-x0_Same Day,50%-x0_Second Class,50%-x0_Standard Class,75%-Row ID,75%-Postal Code,75%-Sales,75%-Quantity,75%-Discount,75%-Profit,75%-ReturnedBin,75%-EncodedCountry,75%-x0_Furniture,75%-x0_Office Supplies,75%-x0_Technology,75%-x0_Accessories,75%-x0_Appliances,75%-x0_Art,75%-x0_Binders,75%-x0_Bookcases,75%-x0_Chairs,75%-x0_Copiers,75%-x0_Envelopes,75%-x0_Fasteners,75%-x0_Furnishings,75%-x0_Labels,75%-x0_Machines,75%-x0_Paper,75%-x0_Phones,75%-x0_Storage,75%-x0_Supplies,75%-x0_Tables,75%-x0_First Class,75%-x0_Same Day,75%-x0_Second Class,75%-x0_Standard Class,max-Row ID,max-Postal Code,max-Quantity,max-Discount,max-Profit,max-EncodedCountry,max-x0_Furniture,max-x0_Office Supplies,max-x0_Technology,max-x0_Accessories,max-x0_Appliances,max-x0_Art,max-x0_Binders,max-x0_Chairs,max-x0_Furnishings,max-x0_Paper,max-x0_Phones,max-x0_Storage,max-x0_First Class,max-x0_Second Class,max-x0_Standard Class
Aaron Bergman,6.0,6786.166666666667,86094.33333333333,147.69266666666667,2.1666666666666665,0.06666666666666667,21.55775,0.0,1.0,0.3333333333333333,0.5,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.16666666666666666,2008.3576789672368,13197.299142880207,139.43237127534863,0.752772652709081,0.10327955589886446,28.810062928758068,0.0,0.0,0.5163977794943223,0.5477225575051661,0.408248290463863,0.0,0.0,0.408248290463863,0.0,0.408248290463863,0.0,0.0,0.0,0.0,0.0,0.408248290463863,0.5163977794943223,0.0,0.0,0.0,0.0,0.408248290463863,0.0,0.0,0.408248290463863,4962.0,73120.0,12.624,1.0,0.0,-2.524800000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4963.25,73844.25,25.633000000000003,2.0,0.0,4.7130000000000045,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6593.5,87060.0,135.346,2.0,0.0,5.1694500000000065,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8657.25,98103.0,237.7,2.75,0.15000000000000002,42.40522499999999,0.0,1.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,8803.0,98103.0,3.0,0.2,62.15440000000001,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Aaron Hawkins,11.0,6786.454545454545,51402.545454545456,158.6090909090909,4.909090909090909,0.09090909090909091,33.20138181818181,0.0,1.0,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,1.0,0.0,0.2727272727272727,0.0,0.2727272727272727,0.45454545454545453,2337.6024197299403,40169.77896967728,206.30546271267494,2.5477262590217755,0.1044465935734187,38.091151505430176,0.0,0.0,0.4045199174779452,0.504524979109513,0.40451991747794525,0.3015113445777636,0.0,0.3015113445777636,0.4045199174779452,0.3015113445777636,0.3015113445777636,0.0,0.3015113445777636,0.30151134457776363,0.3015113445777636,0.30151134457776363,0.30151134457776363,0.0,0.0,0.0,0.0,0.46709936649691375,0.0,0.46709936649691375,0.5222329678670934,3200.0,10035.0,8.0,2.0,0.0,2.3379999999999983,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5355.5,12180.0,18.802,3.0,0.0,6.2669999999999995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7164.0,39503.0,49.408,4.0,0.0,18.528,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8804.5,92056.5,263.648,7.0,0.2,49.71350000000001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,9681.0,94122.0,9.0,0.2,121.4416,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Aaron Smayling,10.0,3533.4,55831.9,305.0692,4.8,0.35500000000000004,-25.357460000000025,0.0,1.0,0.2,0.6,0.2,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.1,0.0,0.1,0.0,1.0,0.0,0.6,0.0,0.0,0.4,3225.635310377718,34928.052347170276,459.44936544539684,2.973961069759395,0.2832843094843059,92.19513140128635,0.0,0.0,0.42163702135578396,0.5163977794943222,0.42163702135578396,0.0,0.0,0.0,0.4830458915396479,0.0,0.0,0.0,0.0,0.0,0.42163702135578396,0.0,0.31622776601683794,0.31622776601683794,0.0,0.0,0.0,0.5163977794943223,0.0,0.0,0.5163977794943223,1341.0,10035.0,15.66,2.0,0.0,-263.99670000000026,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.25,28540.0,32.622,2.25,0.16249999999999998,-26.16089999999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1834.5,53642.5,76.927,4.0,0.30000000000000004,-9.47565000000001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4195.0,88014.25,401.0715,6.75,0.6499999999999999,11.488100000000001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9538.0,97756.0,11.0,0.7,84.29399999999997,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
Adam Bellavance,18.0,4229.111111111111,42354.0,430.86777777777775,3.111111111111111,0.044444444444444446,114.14380555555555,0.0,1.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.0,0.16666666666666666,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.3888888888888889,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,1.0,0.4444444444444444,0.0,0.0,0.5555555555555556,3658.292705120774,36924.0729335213,1086.7284787395045,2.2980525998405668,0.08555852638929973,336.3569372370447,0.0,0.0,0.3834824944236852,0.48507125007266594,0.3834824944236852,0.3834824944236852,0.23570226039551584,0.0,0.3834824944236852,0.23570226039551584,0.0,0.0,0.23570226039551584,0.0,0.5016313257045503,0.0,0.0,0.23570226039551584,0.0,0.0,0.0,0.5113099925649136,0.0,0.0,0.5113099925649136,350.0,3301.0,3.048,1.0,0.0,-73.05480000000007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.5,10009.0,21.692000000000004,2.0,0.0,7.468125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,22980.0,58.459999999999994,2.5,0.0,21.8932,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8169.75,79038.5,152.20999999999998,4.0,0.0,38.86319999999999,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9500.0,98198.0,10.0,0.2,1415.4295999999997,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Adam Hart,20.0,6847.3,40937.15,162.51684999999998,3.75,0.135,14.059449999999995,0.0,1.0,0.3,0.65,0.05,0.05,0.05,0.1,0.1,0.0,0.05,0.0,0.0,0.05,0.15,0.05,0.0,0.2,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.45,0.15,0.15,0.25,2553.528973999048,36566.020232011775,223.79020708438307,2.33677690757793,0.1755442664221313,76.56094848650424,0.0,0.0,0.4701623459816272,0.48936048492959283,0.22360679774997894,0.22360679774997894,0.22360679774997894,0.30779350562554625,0.30779350562554625,0.22360679774997894,0.0,0.22360679774997896,0.36634754853252327,0.22360679774997894,0.4103913408340617,0.0,0.0,0.30779350562554625,0.0,0.0,0.0,0.5104177855340405,0.36634754853252327,0.36634754853252327,0.4442616583193193,925.0,2920.0,2.22,1.0,0.0,-127.57919999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6044.75,2920.0,12.75,2.0,0.0,-6.2332500000000115,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8414.5,34118.0,47.64,3.0,0.1,4.6697999999999995,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8449.25,79266.5,215.94,5.0,0.2,15.561000000000002,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,8689.0,92646.0,10.0,0.7,294.5487999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Adam Shillingsburg,25.0,5239.28,40886.28,130.2124,3.24,0.18,2.5814959999999973,0.0,1.0,0.2,0.72,0.08,0.08,0.04,0.08,0.28,0.04,0.04,0.0,0.08,0.0,0.08,0.08,0.0,0.04,0.0,0.12,0.0,0.04,1.0,0.0,0.0,0.28,0.0,0.08,0.64,2880.808834916564,28854.669500099983,245.1701527381885,1.535143858622594,0.229128784747792,98.36281515169776,0.0,0.0,0.4082482904638631,0.458257569495584,0.27688746209726917,0.27688746209726917,0.2,0.27688746209726917,0.45825756949558405,0.2,0.27688746209726917,0.0,0.27688746209726917,0.27688746209726917,0.2,0.0,0.33166247903553997,0.2,0.0,0.0,0.0,0.45825756949558405,0.0,0.27688746209726917,0.48989794855663565,1895.0,10011.0,1.9079999999999997,1.0,0.0,-412.6153999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2403.0,10035.0,13.04,2.0,0.0,1.3944,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5226.0,22901.0,26.22,3.0,0.2,7.921200000000001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7850.0,65807.0,94.19999999999999,4.0,0.2,14.395200000000004,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9659.0,92037.0,7.0,0.8,215.11979999999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Adrian Barton,20.0,6504.4,67965.55,723.67855,3.65,0.24000000000000005,272.240275,0.2,1.0,0.15,0.55,0.3,0.1,0.0,0.05,0.25,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.05,0.0,0.15,0.2,0.0,0.05,1.0,0.0,0.0,0.2,0.0,0.0,0.8,2645.2178181131244,21688.279343740138,2178.309903358963,2.9607075967890197,0.24148662379867797,1108.25094205062,0.4103913408340617,0.0,0.36634754853252327,0.5104177855340405,0.4701623459816272,0.30779350562554625,0.0,0.22360679774997894,0.4442616583193193,0.0,0.0,0.0,0.30779350562554625,0.22360679774997894,0.0,0.36634754853252327,0.4103913408340617,0.22360679774997894,0.0,0.0,0.0,0.4103913408340617,0.0,0.0,0.41039134083406165,1410.0,10011.0,3.69,1.0,0.0,-204.44580000000005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4283.75,47704.5,29.954999999999995,2.0,0.0,-14.692700000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6972.5,77041.0,103.77199999999999,3.0,0.2,5.6084999999999985,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9103.25,85023.0,412.46775,3.25,0.25,34.88692499999999,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9208.0,97206.0,13.0,0.8,4946.37,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
Adrian Hane,16.0,5907.0,82828.375,108.469625,4.0625,0.2375,-0.14466250000000258,0.4375,1.0,0.125,0.625,0.25,0.1875,0.0,0.125,0.1875,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.25,0.0625,0.0,0.0,0.0625,0.0,0.0,1.0,0.5625,0.0625,0.0625,0.3125,1507.0152399140936,19973.92040929038,111.20622814745283,1.3400870618483463,0.2362907813126304,81.80752600539779,0.51234753829798,0.0,0.3415650255319866,0.5,0.4472135954999579,0.4031128874149275,0.0,0.3415650255319866,0.4031128874149275,0.25,0.0,0.0,0.0,0.25,0.4472135954999579,0.25,0.0,0.25,0.0,0.0,0.0,0.51234753829798,0.25,0.25,0.47871355387816905,2103.0,40214.0,5.231999999999998,2.0,0.0,-264.21500000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5655.75,76581.25,18.0,3.0,0.15000000000000002,-8.19675,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5659.5,94110.0,74.14,4.0,0.2,1.4631999999999992,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6413.25,97301.0,171.91,5.0,0.2,19.456274999999998,1.0,1.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8882.0,97301.0,7.0,0.8,114.93849999999998,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
Adrian Shami,3.0,965.6666666666666,39357.333333333336,19.606666666666666,3.0,0.06666666666666667,7.2832,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333,724.2860852821441,50787.77112980381,19.322736176156145,2.6457513110645907,0.11547005383792518,6.25915506118837,0.0,0.0,0.5773502691896258,0.5773502691896258,0.0,0.0,0.0,0.0,0.5773502691896258,0.0,0.0,0.0,0.5773502691896258,0.0,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,0.0,0.0,0.5773502691896258,547.0,10035.0,4.18,1.0,0.0,1.5048,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.5,10035.0,8.77,1.5,0.0,3.9588,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,548.0,10035.0,13.36,2.0,0.0,6.4128,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1175.0,54018.5,27.32,4.0,0.1,10.1724,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1802.0,98002.0,6.0,0.2,13.931999999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Aimee Bixby,12.0,4849.5,42870.583333333336,80.55916666666667,3.0833333333333335,0.13333333333333333,26.13830833333333,0.0,1.0,0.08333333333333333,0.75,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,3366.723670384499,33452.165342221626,130.64548225834352,1.3113721705515065,0.17752507291971892,50.40201566278618,0.0,0.0,0.28867513459481287,0.45226701686664544,0.38924947208076144,0.38924947208076144,0.0,0.38924947208076144,0.28867513459481287,0.0,0.0,0.0,0.28867513459481287,0.0,0.49236596391733095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38924947208076144,0.38924947208076144,1556.0,10701.0,6.672000000000001,1.0,0.0,-13.992999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.75,10701.0,15.882000000000001,2.0,0.0,5.36985,0.0,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3872.5,42847.0,34.126000000000005,3.0,0.1,7.848099999999998,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8498.25,75007.0,93.425,4.0,0.2,22.4488,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8501.0,75220.0,6.0,0.6,177.58890000000002,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
